Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,335.0,98.5,44.0,44.0,,,,15.9,16.0,,,,1.03,1.0,0.5,1.77,1.75,,,,2.56,3.0,1.75,,,,,,4.5,,,38.0,,,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,,,,74.7,535000.0,,168.0,1180.0,,,278.0,805.0,,,,,,,,,,,,,,,,,4.24,42.2,132.0,,148.0,104.0,120.0,38.0,5.5,
W,W44X290,W44X290,290.0,85.4,43.6,43.625,,,,15.8,15.875,,,,0.865,0.875,0.4375,1.58,1.5625,,,,2.36,2.8125,1.625,,,,,,5.02,,,45.0,,,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,,,,50.9,461000.0,,166.0,1040.0,,,248.0,701.0,,,,,,,,,,,,,,,,,4.2,42.0,131.0,,147.0,103.0,119.0,38.0,5.5,
W,W44X262,W44X262,262.0,77.2,43.3,43.25,,,,15.8,15.75,,,,0.785,0.8125,0.4375,1.42,1.4375,,,,2.2,2.625,1.625,,,,,,5.57,,,49.6,,,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,,,,37.3,405000.0,,165.0,928.0,,,223.0,630.0,,,,,,,,,,,,,,,,,4.17,41.9,131.0,,147.0,102.0,118.0,38.0,5.5,
W,W44X230,W44X230,230.0,67.8,42.9,42.875,,,,15.8,15.75,,,,0.71,0.6875,0.375,1.22,1.25,,,,2.01,2.4375,1.5625,,,,,,6.45,,,54.8,,,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,,,,24.9,346000.0,,165.0,793.0,,,192.0,547.0,,,,,,,,,,,,,,,,,4.13,41.7,130.0,,146.0,102.0,118.0,38.0,5.5,
W,W40X655,W40X655,655.0,193.0,43.6,43.625,,,,16.9,16.875,,,,1.97,2.0,1.0,3.54,3.5625,,,,4.72,4.8125,2.1875,,,,,,2.39,,,17.3,,,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,,,,589.0,1150000.0,,169.0,2530.0,,,529.0,1530.0,,,,,,,,,,,,,,,,,4.71,40.1,132.0,,149.0,104.0,121.0,34.0,7.5,
W,W40X593,W40X593,593.0,174.0,43.0,43.0,,,,16.7,16.75,,,,1.79,1.8125,0.9375,3.23,3.25,,,,4.41,4.5,2.125,,,,,,2.58,,,19.1,,,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,,,,445.0,997000.0,,166.0,2240.0,,,479.0,1370.0,,,,,,,,,,,,,,,,,4.63,39.8,130.0,,147.0,103.0,120.0,34.0,7.5,
W,W40X503,W40X503,503.0,148.0,42.1,42.0,,,,16.4,16.375,,,,1.54,1.5625,0.8125,2.76,2.75,,,,3.94,4.0,2.0,,,,,,2.98,,,22.3,,,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,,,,277.0,789000.0,,161.0,1830.0,,,403.0,1150.0,,,,,,,,,,,,,,,,,4.5,39.3,129.0,,145.0,101.0,117.0,34.0,7.5,
W,W40X431,W40X431,431.0,127.0,41.3,41.25,,,,16.2,16.25,,,,1.34,1.3125,0.6875,2.36,2.375,,,,3.54,3.625,1.875,,,,,,3.44,,,25.5,,,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,,,,177.0,638000.0,,158.0,1510.0,,,341.0,969.0,,,,,,,,,,,,,,,,,4.41,38.9,127.0,,143.0,98.8,115.0,34.0,7.5,
W,W40X397,W40X397,397.0,117.0,41.0,41.0,,,,16.1,16.125,,,,1.22,1.25,0.625,2.2,2.1875,,,,3.38,3.5,1.8125,,,,,,3.66,,,28.0,,,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,,,,142.0,579000.0,,156.0,1380.0,,,318.0,891.0,,,,,,,,,,,,,,,,,4.38,38.8,126.0,,142.0,98.1,114.0,34.0,7.5,
W,W40X372,W40X372,372.0,110.0,40.6,40.625,,,,16.1,16.125,,,,1.16,1.1875,0.625,2.05,2.0625,,,,3.23,3.3125,1.8125,,,,,,3.93,,,29.5,,,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,,,,116.0,528000.0,,155.0,1280.0,,,295.0,829.0,,,,,,,,,,,,,,,,,4.33,38.6,125.0,,141.0,97.3,113.0,34.0,7.5,
W,W40X362,W40X362,362.0,106.0,40.6,40.5,,,,16.0,16.0,,,,1.12,1.125,0.5625,2.01,2.0,,,,3.19,3.25,1.75,,,,,,3.99,,,30.5,,,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,,,,109.0,513000.0,,154.0,1240.0,,,289.0,808.0,,,,,,,,,,,,,,,,,4.33,38.6,125.0,,141.0,97.2,113.0,34.0,7.5,
W,W40X324,W40X324,324.0,95.3,40.2,40.125,,,,15.9,15.875,,,,1.0,1.0,0.5,1.81,1.8125,,,,2.99,3.0625,1.6875,,,,,,4.4,,,34.2,,,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,,,,79.4,448000.0,,153.0,1100.0,,,259.0,720.0,,,,,,,,,,,,,,,,,4.27,38.4,124.0,,140.0,96.3,112.0,34.0,7.5,
W,W40X297,W40X297,297.0,87.3,39.8,39.875,,,,15.8,15.875,,,,0.93,0.9375,0.5,1.65,1.625,,,,2.83,2.9375,1.6875,,,,,,4.8,,,36.8,,,23200.0,1330.0,1170.0,16.3,1090.0,215.0,138.0,3.54,,,,61.2,399000.0,,151.0,982.0,,,234.0,652.0,,,,,,,,,,,,,,,,,4.22,38.2,123.0,,139.0,95.4,111.0,34.0,7.5,
W,W40X277,W40X277,277.0,81.5,39.7,39.75,,,,15.8,15.875,,,,0.83,0.8125,0.4375,1.58,1.5625,,,,2.76,2.875,1.625,,,,,,5.03,,,41.2,,,21900.0,1250.0,1100.0,16.4,1040.0,204.0,132.0,3.58,,,,51.5,379000.0,,151.0,940.0,,,225.0,614.0,,,,,,,,,,,,,,,,,4.25,38.1,123.0,,139.0,95.2,111.0,34.0,7.5,
W,W40X249,W40X249,249.0,73.5,39.4,39.375,,,,15.8,15.75,,,,0.75,0.75,0.375,1.42,1.4375,,,,2.6,2.6875,1.5625,,,,,,5.55,,,45.6,,,19600.0,1120.0,993.0,16.3,926.0,182.0,118.0,3.55,,,,38.1,334000.0,,150.0,841.0,,,203.0,551.0,,,,,,,,,,,,,,,,,4.21,38.0,122.0,,138.0,94.6,110.0,34.0,7.5,
W,W40X215,W40X215,215.0,63.5,39.0,39.0,,,,15.8,15.75,,,,0.65,0.625,0.3125,1.22,1.25,,,,2.4,2.5,1.5625,,,,,,6.45,,,52.6,,,16700.0,964.0,859.0,16.2,803.0,156.0,101.0,3.54,,,,24.8,284000.0,,149.0,719.0,,,175.0,473.0,,,,,,,,,,,,,,,,,4.19,37.8,122.0,,138.0,93.8,110.0,34.0,7.5,
W,W40X199,W40X199,199.0,58.8,38.7,38.625,,,,15.8,15.75,,,,0.65,0.625,0.3125,1.07,1.0625,,,,2.25,2.3125,1.5625,,,,,,7.39,,,52.6,,,14900.0,869.0,770.0,16.0,695.0,137.0,88.2,3.45,,,,18.3,246000.0,,149.0,628.0,,,153.0,427.0,,,,,,,,,,,,,,,,,4.12,37.6,121.0,,137.0,93.2,109.0,34.0,7.5,
W,W40X392,W40X392,392.0,116.0,41.6,41.625,,,,12.4,12.375,,,,1.42,1.4375,0.75,2.52,2.5,,,,3.7,3.8125,1.9375,,,,,,2.45,,,24.1,,,29900.0,1710.0,1440.0,16.1,803.0,212.0,130.0,2.64,,,,172.0,306000.0,,121.0,946.0,,,270.0,848.0,,,,,,,,,,,,,,,,,3.3,39.1,116.0,,128.0,95.6,108.0,34.0,7.5,
W,W40X331,W40X331,331.0,97.7,40.8,40.75,,,,12.2,12.125,,,,1.22,1.25,0.625,2.13,2.125,,,,3.31,3.375,1.8125,,,,,,2.86,,,28.0,,,24700.0,1430.0,1210.0,15.9,644.0,172.0,106.0,2.57,,,,105.0,241000.0,,118.0,766.0,,,226.0,706.0,,,,,,,,,,,,,,,,,3.21,38.7,114.0,,126.0,93.8,106.0,34.0,7.5,
W,W40X327,W40X327,327.0,95.9,40.8,40.75,,,,12.1,12.125,,,,1.18,1.1875,0.625,2.13,2.125,,,,3.31,3.375,1.8125,,,,,,2.85,,,29.0,,,24500.0,1410.0,1200.0,16.0,640.0,170.0,105.0,2.58,,,,103.0,239000.0,,117.0,754.0,,,225.0,695.0,,,,,,,,,,,,,,,,,3.21,38.7,114.0,,126.0,93.7,106.0,34.0,7.5,
W,W40X294,W40X294,294.0,86.2,40.4,40.375,,,,12.0,12.0,,,,1.06,1.0625,0.5625,1.93,1.9375,,,,3.11,3.1875,1.75,,,,,,3.11,,,32.2,,,21900.0,1270.0,1080.0,15.9,562.0,150.0,93.5,2.55,,,,76.6,208000.0,,115.0,668.0,,,203.0,622.0,,,,,,,,,,,,,,,,,3.16,38.5,113.0,,125.0,92.8,105.0,34.0,7.5,
W,W40X278,W40X278,278.0,82.3,40.2,40.125,,,,12.0,12.0,,,,1.03,1.0,0.5,1.81,1.8125,,,,2.99,3.0625,1.75,,,,,,3.31,,,33.3,,,20500.0,1190.0,1020.0,15.8,521.0,140.0,87.1,2.52,,,,65.0,192000.0,,115.0,622.0,,,190.0,587.0,,,,,,,,,,,,,,,,,3.13,38.4,112.0,,124.0,92.4,104.0,34.0,7.5,
W,W40X264,W40X264,264.0,77.4,40.0,40.0,,,,11.9,11.875,,,,0.96,0.9375,0.5,1.73,1.75,,,,2.91,3.0,1.6875,,,,,,3.45,,,35.6,,,19400.0,1130.0,971.0,15.8,493.0,132.0,82.6,2.52,,,,56.1,181000.0,,114.0,589.0,,,182.0,555.0,,,,,,,,,,,,,,,,,3.12,38.3,112.0,,124.0,91.9,104.0,34.0,7.5,
W,W40X235,W40X235,235.0,69.1,39.7,39.75,,,,11.9,11.875,,,,0.83,0.8125,0.4375,1.58,1.5625,,,,2.76,2.875,1.625,,,,,,3.77,,,41.2,,,17400.0,1010.0,875.0,15.9,444.0,118.0,74.6,2.54,,,,41.3,161000.0,,113.0,530.0,,,166.0,495.0,,,,,,,,,,,,,,,,,3.11,38.1,111.0,,123.0,91.3,103.0,34.0,7.5,
W,W40X211,W40X211,211.0,62.1,39.4,39.375,,,,11.8,11.75,,,,0.75,0.75,0.375,1.42,1.4375,,,,2.6,2.6875,1.5625,,,,,,4.17,,,45.6,,,15500.0,906.0,786.0,15.8,390.0,105.0,66.1,2.51,,,,30.4,141000.0,,112.0,468.0,,,148.0,442.0,,,,,,,,,,,,,,,,,3.07,38.0,110.0,,122.0,90.6,102.0,34.0,7.5,
W,W40X183,W40X183,183.0,53.3,39.0,39.0,,,,11.8,11.75,,,,0.65,0.625,0.3125,1.2,1.1875,,,,2.38,2.5,1.5625,,,,,,4.92,,,52.6,,,13200.0,774.0,675.0,15.7,331.0,88.3,56.0,2.49,,,,19.3,118000.0,,112.0,395.0,,,126.0,376.0,,,,,,,,,,,,,,,,,3.04,37.8,110.0,,122.0,89.8,102.0,34.0,7.5,
W,W40X167,W40X167,167.0,49.3,38.6,38.625,,,,11.8,11.75,,,,0.65,0.625,0.3125,1.03,1.0,,,,2.21,2.3125,1.5625,,,,,,5.76,,,52.6,,,11600.0,693.0,600.0,15.3,283.0,76.0,47.9,2.4,,,,14.0,99700.0,,111.0,336.0,,,107.0,336.0,,,,,,,,,,,,,,,,,2.98,37.6,109.0,,121.0,89.0,101.0,34.0,7.5,
W,W40X149,W40X149,149.0,43.8,38.2,38.25,,,,11.8,11.75,,,,0.63,0.625,0.3125,0.83,0.8125,,,,2.01,2.125,1.5,,,,,,7.11,,,54.3,,,9800.0,598.0,513.0,15.0,229.0,62.2,38.8,2.29,,,,9.36,80000.0,,110.0,270.0,,,86.7,288.0,,,,,,,,,,,,,,,,,2.89,37.4,108.0,,120.0,88.2,100.0,34.0,7.5,
W,W36X925,W36X925,925.0,272.0,43.1,43.125,,,,18.6,18.625,,,,3.02,3.0,1.5,4.53,4.5,,,,5.28,5.375,2.3125,,,,,,2.05,,,10.8,,,73000.0,4130.0,3390.0,16.4,4940.0,862.0,531.0,4.26,,,,1430.0,1840000.0,,179.0,3780.0,,,681.0,2060.0,,,,,,,,,,,,,,,,,5.3,38.6,134.0,,153.0,105.0,124.0,32.375,7.5,
W,W36X853,W36X853,853.0,251.0,43.1,43.125,,,,18.2,18.25,,,,2.52,2.5,1.25,4.53,4.5,,,,5.28,5.375,2.0625,,,,,,2.01,,,12.9,,,70000.0,3920.0,3250.0,16.7,4600.0,805.0,505.0,4.28,,,,1240.0,1710000.0,,175.0,3620.0,,,685.0,1950.0,,,,,,,,,,,,,,,,,5.22,38.6,135.0,,153.0,104.0,122.0,32.375,7.5,
W,W36X802,W36X802,802.0,236.0,42.6,42.625,,,,18.0,18.0,,,,2.38,2.375,1.1875,4.29,4.3125,,,,5.04,5.125,2.0,,,,,,2.1,,,13.7,,,64800.0,3660.0,3040.0,16.6,4210.0,744.0,468.0,4.22,,,,1050.0,1540000.0,,172.0,3330.0,,,642.0,1820.0,,,,,,,,,,,,,,,,,5.15,38.3,133.0,,151.0,103.0,121.0,32.375,7.5,
W,W36X723,W36X723,723.0,213.0,41.8,41.75,,,,17.8,17.75,,,,2.17,2.1875,1.125,3.9,3.875,,,,4.65,4.6875,1.875,,,,,,2.28,,,15.0,,,57300.0,3270.0,2740.0,16.4,3700.0,658.0,416.0,4.17,,,,785.0,1330000.0,,169.0,2930.0,,,578.0,1630.0,,,,,,,,,,,,,,,,,5.06,37.9,131.0,,149.0,101.0,119.0,32.375,7.5,
W,W36X652,W36X652,652.0,192.0,41.1,41.0,,,,17.6,17.625,,,,1.97,2.0,1.0,3.54,3.5625,,,,4.49,4.8125,2.1875,,,,,,2.48,,,16.3,,,50600.0,2910.0,2460.0,16.2,3230.0,581.0,367.0,4.1,,,,593.0,1130000.0,,165.0,2560.0,,,518.0,1450.0,,,,,,,,,,,,,,,,,4.96,37.6,129.0,,147.0,99.8,117.0,31.375,7.5,
W,W36X529,W36X529,529.0,156.0,39.8,39.75,,,,17.2,17.25,,,,1.61,1.625,0.8125,2.91,2.9375,,,,3.86,4.1875,2.0,,,,,,2.96,,,19.9,,,39600.0,2330.0,1990.0,16.0,2490.0,454.0,289.0,4.0,,,,327.0,846000.0,,159.0,1990.0,,,419.0,1160.0,,,,,,,,,,,,,,,,,4.8,36.9,127.0,,144.0,96.8,114.0,31.375,7.5,
W,W36X487,W36X487,487.0,143.0,39.3,39.375,,,,17.1,17.125,,,,1.5,1.5,0.75,2.68,2.6875,,,,3.63,4.0,1.875,,,,,,3.19,,,21.4,,,36000.0,2130.0,1830.0,15.8,2250.0,412.0,263.0,3.96,,,,258.0,754000.0,,157.0,1800.0,,,383.0,1060.0,,,,,,,,,,,,,,,,,4.74,36.6,125.0,,142.0,95.7,113.0,31.375,7.5,
W,W36X441,W36X441,441.0,130.0,38.9,38.875,,,,17.0,17.0,,,,1.36,1.375,0.6875,2.44,2.4375,,,,3.39,3.75,1.875,,,,,,3.48,,,23.6,,,32100.0,1910.0,1650.0,15.7,1990.0,368.0,235.0,3.92,,,,194.0,661000.0,,154.0,1600.0,,,347.0,950.0,,,,,,,,,,,,,,,,,4.69,36.5,124.0,,141.0,94.8,112.0,31.375,7.5,
W,W36X395,W36X395,395.0,116.0,38.4,38.375,,,,16.8,16.875,,,,1.22,1.25,0.625,2.2,2.1875,,,,3.15,3.4375,1.8125,,,,,,3.83,,,26.3,,,28500.0,1710.0,1490.0,15.7,1750.0,325.0,208.0,3.88,,,,142.0,575000.0,,152.0,1410.0,,,311.0,847.0,,,,,,,,,,,,,,,,,4.61,36.2,123.0,,140.0,93.6,110.0,31.375,7.5,
W,W36X361,W36X361,361.0,106.0,38.0,38.0,,,,16.7,16.75,,,,1.12,1.125,0.5625,2.01,2.0,,,,2.96,3.3125,1.75,,,,,,4.16,,,28.6,,,25700.0,1550.0,1350.0,15.6,1570.0,293.0,188.0,3.85,,,,109.0,509000.0,,150.0,1270.0,,,282.0,767.0,,,,,,,,,,,,,,,,,4.58,36.0,122.0,,139.0,92.7,109.0,31.375,7.5,
W,W36X330,W36X330,330.0,96.9,37.7,37.625,,,,16.6,16.625,,,,1.02,1.0,0.5,1.85,1.875,,,,2.8,3.125,1.75,,,,,,4.49,,,31.4,,,23300.0,1410.0,1240.0,15.5,1420.0,265.0,171.0,3.83,,,,84.3,456000.0,,149.0,1150.0,,,259.0,698.0,,,,,,,,,,,,,,,,,4.53,35.9,121.0,,138.0,92.0,109.0,31.375,7.5,
W,W36X302,W36X302,302.0,89.0,37.3,37.375,,,,16.7,16.625,,,,0.945,0.9375,0.5,1.68,1.6875,,,,2.63,3.0,1.6875,,,,,,4.96,,,33.9,,,21100.0,1280.0,1130.0,15.4,1300.0,241.0,156.0,3.82,,,,64.3,412000.0,,148.0,1040.0,,,235.0,635.0,,,,,,,,,,,,,,,,,4.53,35.6,121.0,,138.0,91.3,108.0,31.375,7.5,
W,W36X282,W36X282,282.0,82.9,37.1,37.125,,,,16.6,16.625,,,,0.885,0.875,0.4375,1.57,1.5625,,,,2.52,2.875,1.625,,,,,,5.29,,,36.2,,,19600.0,1190.0,1050.0,15.4,1200.0,223.0,144.0,3.8,,,,52.7,378000.0,,147.0,960.0,,,219.0,591.0,,,,,,,,,,,,,,,,,4.5,35.5,120.0,,137.0,90.8,107.0,31.375,7.5,
W,W36X262,W36X262,262.0,77.2,36.9,36.875,,,,16.6,16.5,,,,0.84,0.8125,0.4375,1.44,1.4375,,,,2.39,2.75,1.625,,,,,,5.75,,,38.2,,,17900.0,1100.0,972.0,15.3,1090.0,204.0,132.0,3.76,,,,41.6,342000.0,,147.0,873.0,,,200.0,543.0,,,,,,,,,,,,,,,,,4.46,35.5,120.0,,137.0,90.4,107.0,31.375,7.5,
W,W36X247,W36X247,247.0,72.5,36.7,36.625,,,,16.5,16.5,,,,0.8,0.8125,0.4375,1.35,1.375,,,,2.3,2.625,1.625,,,,,,6.11,,,40.1,,,16700.0,1030.0,913.0,15.2,1010.0,190.0,123.0,3.74,,,,34.7,316000.0,,146.0,812.0,,,187.0,509.0,,,,,,,,,,,,,,,,,4.42,35.4,120.0,,136.0,89.9,106.0,31.375,7.5,
W,W36X231,W36X231,231.0,68.2,36.5,36.5,,,,16.5,16.5,,,,0.76,0.75,0.375,1.26,1.25,,,,2.21,2.5625,1.5625,,,,,,6.54,,,42.2,,,15600.0,963.0,854.0,15.1,940.0,176.0,114.0,3.71,,,,28.7,292000.0,,145.0,756.0,,,175.0,476.0,,,,,,,,,,,,,,,,,4.4,35.2,120.0,,136.0,89.5,106.0,31.375,7.5,
W,W36X256,W36X256,256.0,75.3,37.4,37.375,,,,12.2,12.25,,,,0.96,0.9375,0.5,1.73,1.75,,,,2.48,2.9375,1.6875,,,,,,3.53,,,33.8,,,16800.0,1040.0,895.0,14.9,528.0,137.0,86.5,2.65,,,,52.9,168000.0,,109.0,576.0,,,174.0,516.0,,,,,,,,,,,,,,,,,3.24,35.7,108.0,,120.0,87.0,99.2,31.5,5.5,
W,W36X232,W36X232,232.0,68.0,37.1,37.125,,,,12.1,12.125,,,,0.87,0.875,0.4375,1.57,1.5625,,,,2.32,2.8125,1.625,,,,,,3.86,,,37.3,,,15000.0,936.0,809.0,14.8,468.0,122.0,77.2,2.62,,,,39.6,148000.0,,108.0,512.0,,,157.0,464.0,,,,,,,,,,,,,,,,,3.21,35.5,108.0,,120.0,86.3,98.4,31.5,5.5,
W,W36X210,W36X210,210.0,61.9,36.7,36.75,,,,12.2,12.125,,,,0.83,0.8125,0.4375,1.36,1.375,,,,2.11,2.625,1.625,,,,,,4.48,,,39.1,,,13200.0,833.0,719.0,14.6,411.0,107.0,67.5,2.58,,,,28.0,128000.0,,108.0,446.0,,,136.0,412.0,,,,,,,,,,,,,,,,,3.18,35.3,107.0,,119.0,85.6,97.8,31.5,5.5,
W,W36X194,W36X194,194.0,57.0,36.5,36.5,,,,12.1,12.125,,,,0.765,0.75,0.375,1.26,1.25,,,,2.01,2.5,1.5625,,,,,,4.81,,,42.4,,,12100.0,767.0,664.0,14.6,375.0,97.7,61.9,2.56,,,,22.2,116000.0,,107.0,407.0,,,126.0,379.0,,,,,,,,,,,,,,,,,3.15,35.2,107.0,,119.0,85.1,97.2,31.5,5.5,
W,W36X182,W36X182,182.0,53.6,36.3,36.375,,,,12.1,12.125,,,,0.725,0.75,0.375,1.18,1.1875,,,,1.93,2.375,1.5625,,,,,,5.12,,,44.8,,,11300.0,718.0,623.0,14.5,347.0,90.7,57.6,2.55,,,,18.5,107000.0,,106.0,378.0,,,118.0,355.0,,,,,,,,,,,,,,,,,3.13,35.1,106.0,,118.0,84.7,96.8,31.5,5.5,
W,W36X170,W36X170,170.0,50.0,36.2,36.125,,,,12.0,12.0,,,,0.68,0.6875,0.375,1.1,1.125,,,,1.85,2.375,1.5625,,,,,,5.47,,,47.7,,,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,,,,15.1,98500.0,,105.0,349.0,,,109.0,330.0,,,,,,,,,,,,,,,,,3.11,35.1,106.0,,118.0,84.4,96.4,31.5,5.5,
W,W36X160,W36X160,160.0,47.0,36.0,36.0,,,,12.0,12.0,,,,0.65,0.625,0.3125,1.02,1.0,,,,1.77,2.25,1.5625,,,,,,5.88,,,49.9,,,9760.0,624.0,542.0,14.4,295.0,77.3,49.1,2.5,,,,12.4,90200.0,,105.0,321.0,,,101.0,308.0,,,,,,,,,,,,,,,,,3.09,35.0,105.0,,117.0,84.0,96.0,31.5,5.5,
W,W36X150,W36X150,150.0,44.3,35.9,35.875,,,,12.0,12.0,,,,0.625,0.625,0.3125,0.94,0.9375,,,,1.69,2.1875,1.5,,,,,,6.37,,,51.9,,,9040.0,581.0,504.0,14.3,270.0,70.9,45.1,2.47,,,,10.1,82200.0,,105.0,294.0,,,93.1,287.0,,,,,,,,,,,,,,,,,3.06,35.0,105.0,,117.0,83.8,95.8,31.5,5.5,
W,W36X135,W36X135,135.0,39.9,35.6,35.5,,,,12.0,12.0,,,,0.6,0.625,0.3125,0.79,0.8125,,,,1.54,2.0625,1.5,,,,,,7.56,,,54.1,,,7800.0,509.0,439.0,14.0,225.0,59.7,37.7,2.38,,,,7.0,68100.0,,104.0,245.0,,,77.9,251.0,,,,,,,,,,,,,,,,,2.99,34.8,105.0,,117.0,83.2,95.2,31.5,5.5,
W,W33X387,W33X387,387.0,114.0,36.0,36.0,,,,16.2,16.25,,,,1.26,1.25,0.625,2.28,2.25,,,,3.07,3.5625,1.8125,,,,,,3.55,,,23.7,,,24300.0,1560.0,1350.0,14.6,1620.0,312.0,200.0,3.77,,,,148.0,459000.0,,137.0,1260.0,,,287.0,778.0,,,,,,,,,,,,,,,,,4.49,33.7,117.0,,133.0,88.2,104.0,28.875,5.5,
W,W33X354,W33X354,354.0,104.0,35.6,35.5,,,,16.1,16.125,,,,1.16,1.1875,0.625,2.09,2.0625,,,,2.88,3.375,1.8125,,,,,,3.85,,,25.7,,,22000.0,1420.0,1240.0,14.5,1460.0,282.0,181.0,3.74,,,,115.0,408000.0,,135.0,1130.0,,,262.0,707.0,,,,,,,,,,,,,,,,,4.44,33.5,116.0,,132.0,87.3,103.0,28.875,5.5,
W,W33X318,W33X318,318.0,93.7,35.2,35.125,,,,16.0,16.0,,,,1.04,1.0625,0.5625,1.89,1.875,,,,2.68,3.1875,1.75,,,,,,4.23,,,28.7,,,19500.0,1270.0,1110.0,14.5,1290.0,250.0,161.0,3.71,,,,84.4,357000.0,,133.0,1010.0,,,235.0,632.0,,,,,,,,,,,,,,,,,4.4,33.3,115.0,,131.0,86.4,102.0,28.875,5.5,
W,W33X291,W33X291,291.0,85.6,34.8,34.875,,,,15.9,15.875,,,,0.96,0.9375,0.5,1.73,1.75,,,,2.52,2.9375,1.6875,,,,,,4.6,,,31.0,,,17700.0,1160.0,1020.0,14.4,1160.0,226.0,146.0,3.68,,,,65.1,319000.0,,131.0,904.0,,,214.0,573.0,,,,,,,,,,,,,,,,,4.34,33.1,114.0,,130.0,85.5,101.0,28.875,5.5,
W,W33X263,W33X263,263.0,77.4,34.5,34.5,,,,15.8,15.75,,,,0.87,0.875,0.4375,1.57,1.5625,,,,2.36,2.8125,1.625,,,,,,5.03,,,34.3,,,15900.0,1040.0,919.0,14.3,1040.0,202.0,131.0,3.66,,,,48.7,281000.0,,130.0,807.0,,,193.0,515.0,,,,,,,,,,,,,,,,,4.31,32.9,113.0,,129.0,84.8,101.0,28.875,5.5,
W,W33X241,W33X241,241.0,71.1,34.2,34.125,,,,15.9,15.875,,,,0.83,0.8125,0.4375,1.4,1.375,,,,2.19,2.6875,1.625,,,,,,5.66,,,35.9,,,14200.0,940.0,831.0,14.1,933.0,182.0,118.0,3.62,,,,36.2,251000.0,,130.0,726.0,,,173.0,467.0,,,,,,,,,,,,,,,,,4.29,32.8,113.0,,129.0,84.3,100.0,28.875,5.5,
W,W33X221,W33X221,221.0,65.3,33.9,33.875,,,,15.8,15.75,,,,0.775,0.75,0.375,1.28,1.25,,,,2.06,2.5,1.625,,,,,,6.2,,,38.5,,,12900.0,857.0,759.0,14.1,840.0,164.0,106.0,3.59,,,,27.8,224000.0,,129.0,647.0,,,156.0,423.0,,,,,,,,,,,,,,,,,4.25,32.6,112.0,,128.0,83.6,99.4,28.875,5.5,
W,W33X201,W33X201,201.0,59.1,33.7,33.625,,,,15.7,15.75,,,,0.715,0.6875,0.375,1.15,1.125,,,,1.94,2.4375,1.5625,,,,,,6.85,,,41.7,,,11600.0,773.0,686.0,14.0,749.0,147.0,95.2,3.56,,,,20.8,198000.0,,128.0,577.0,,,140.0,382.0,,,,,,,,,,,,,,,,,4.21,32.6,111.0,,127.0,83.1,98.8,28.875,5.5,
W,W33X169,W33X169,169.0,49.5,33.8,33.875,,,,11.5,11.5,,,,0.67,0.6875,0.375,1.22,1.25,,,,1.92,2.4375,1.5625,,,,,,4.71,,,44.7,,,9290.0,629.0,549.0,13.7,310.0,84.4,53.9,2.5,,,,17.7,82400.0,,93.7,329.0,,,108.0,311.0,,,,,,,,,,,,,,,,,3.03,32.6,99.5,,111.0,79.1,90.6,28.875,5.5,
W,W33X152,W33X152,152.0,44.9,33.5,33.5,,,,11.6,11.625,,,,0.635,0.625,0.3125,1.06,1.0625,,,,1.76,2.3125,1.5,,,,,,5.48,,,47.2,,,8160.0,559.0,487.0,13.5,273.0,73.9,47.2,2.47,,,,12.4,71700.0,,94.1,289.0,,,94.3,278.0,,,,,,,,,,,,,,,,,3.01,32.4,99.4,,111.0,78.6,90.2,28.875,5.5,
W,W33X141,W33X141,141.0,41.5,33.3,33.25,,,,11.5,11.5,,,,0.605,0.625,0.3125,0.96,0.9375,,,,1.66,2.1875,1.5,,,,,,6.01,,,49.6,,,7450.0,514.0,448.0,13.4,246.0,66.9,42.7,2.43,,,,9.7,64400.0,,93.0,257.0,,,84.6,253.0,,,,,,,,,,,,,,,,,2.98,32.3,98.5,,110.0,78.1,89.6,28.875,5.5,
